species,Common Name,Threat Status,Original Map Link,Family
Gampsonyx swainsonii,Pearl Kite,LC,https://mol.org/species/map/Gampsonyx swainsonii,Accipitridae
Accipiter poliogaster,Grey-Bellied Goshawk,NT,https://mol.org/species/map/Accipiter poliogaster,Accipitridae
Accipiter erythropus,Red-Thighed Sparrowhawk,LC,https://mol.org/species/map/Accipiter erythropus,Accipitridae
Ictinia plumbea,Plumbeous Kite,LC,https://mol.org/species/map/Ictinia plumbea,Accipitridae
Leptodon cayanensis,White-Collared Kite,LC,https://mol.org/species/map/Leptodon cayanensis,Accipitridae
Accipiter superciliosus,Tiny Hawk,LC,https://mol.org/species/map/Accipiter superciliosus,Accipitridae
Accipiter bicolor,Bicoloured Hawk,LC,https://mol.org/species/map/Accipiter bicolor,Accipitridae
Rostrhamus sociabilis,Everglade Kite,LC,https://mol.org/species/map/Rostrhamus sociabilis,Accipitridae
Pardirallus nigricans,Blackish Rail,LC,https://mol.org/species/map/Pardirallus nigricans,Rallidae
Laterallus leucopyrrhus,Red-And-White Crake,LC,https://mol.org/species/map/Laterallus leucopyrrhus,Rallidae
Laterallus melanophaius,Rufous-Sided Crake,LC,https://mol.org/species/map/Laterallus melanophaius,Rallidae
Laterallus xenopterus,Rufous-Faced Crake,VU,https://mol.org/species/map/Laterallus xenopterus,Rallidae
Mustelirallus albicollis,,LC,https://mol.org/species/map/Mustelirallus albicollis,Rallidae
Porphyrio flavirostris,Azure Gallinule,LC,https://mol.org/species/map/Porphyrio flavirostris,Rallidae
Porphyrio martinica,Purple Gallinule,LC,https://mol.org/species/map/Porphyrio martinica,Rallidae
Aramides ypecaha,Giant Wood-Rail,LC,https://mol.org/species/map/Aramides ypecaha,Rallidae
Aramides saracura,Slaty-Breasted Wood-Rail,LC,https://mol.org/species/map/Aramides saracura,Rallidae
Aramides cajaneus,Grey Necked Wood Rail,LC,https://mol.org/species/map/Aramides cajaneus,Rallidae
Gallinula galeata,Common Gallinule,LC,https://mol.org/species/map/Gallinula galeata,Rallidae
Micropygia schomburgkii,Ocellated Crake,LC,https://mol.org/species/map/Micropygia schomburgkii,Rallidae
Gallinula chloropus,Common Moorhen,LC,https://mol.org/species/map/Gallinula chloropus,Rallidae
Pardirallus maculatus,Spotted Rail,LC,https://mol.org/species/map/Pardirallus maculatus,Rallidae
Aramus guarauna,Limpkin,LC,https://mol.org/species/map/Aramus guarauna,Aramidae
Himantopus mexicanus,Black-Necked Stilt,LC,https://mol.org/species/map/Himantopus mexicanus,Recurvirostridae
Himantopus himantopus,Black-Winged Stilt,LC,https://mol.org/species/map/Himantopus himantopus,Recurvirostridae
Vanellus chilensis,Southern Lapwing,LC,https://mol.org/species/map/Vanellus chilensis,Charadriidae
Pluvialis dominica,American Golden-Plover,LC,https://mol.org/species/map/Pluvialis dominica,Charadriidae
Vanellus cayanus,Pied Lapwing,LC,https://mol.org/species/map/Vanellus cayanus,Charadriidae
Charadrius collaris,Collared Plover,LC,https://mol.org/species/map/Charadrius collaris,Charadriidae
Jacana jacana,Wattled Jacana,LC,https://mol.org/species/map/Jacana jacana,Jacanidae
Gallinago paraguaiae,Magellan Snipe,LC,https://mol.org/species/map/Gallinago paraguaiae,Scolopacidae
Tringa melanoleuca,Greater Yellowlegs,LC,https://mol.org/species/map/Tringa melanoleuca,Scolopacidae
Tringa flavipes,Lesser Yellow-Legs,LC,https://mol.org/species/map/Tringa flavipes,Scolopacidae
Calidris fuscicollis,White-Rumped Sandpiper,LC,https://mol.org/species/map/Calidris fuscicollis,Scolopacidae
Tringa solitaria,Solitary Sandpiper,LC,https://mol.org/species/map/Tringa solitaria,Scolopacidae
Gallinago undulata,Giant Snipe,LC,https://mol.org/species/map/Gallinago undulata,Scolopacidae
Actitis macularius,Spotted Sandpiper,LC,https://mol.org/species/map/Actitis macularius,Scolopacidae
Rynchops niger,Black Skimmer,LC,https://mol.org/species/map/Rynchops niger,Laridae
Phaetusa simplex,Large-Billed Tern,LC,https://mol.org/species/map/Phaetusa simplex,Laridae
Patagioenas plumbea,Plumbeous Pigeon,LC,https://mol.org/species/map/Patagioenas plumbea,Columbidae
Claravis pretiosa,Blue Ground-Dove,LC,https://mol.org/species/map/Claravis pretiosa,Columbidae
Patagioenas picazuro,Picazuro Pigeon,LC,https://mol.org/species/map/Patagioenas picazuro,Columbidae
Leptotila rufaxilla,Grey-Fronted Dove,LC,https://mol.org/species/map/Leptotila rufaxilla,Columbidae
Leptotila verreauxi,White-Fronted Dove,LC,https://mol.org/species/map/Leptotila verreauxi,Columbidae
Patagioenas speciosa,Scaled Pigeon,LC,https://mol.org/species/map/Patagioenas speciosa,Columbidae
Geotrygon montana,Ruddy Quail-Dove,LC,https://mol.org/species/map/Geotrygon montana,Columbidae
Geotrygon violacea,Violaceous Quail-Dove,LC,https://mol.org/species/map/Geotrygon violacea,Columbidae
Columbina picui,Picui Dove,LC,https://mol.org/species/map/Columbina picui,Columbidae
Columbina squammata,Scaly Dove,LC,https://mol.org/species/map/Columbina squammata,Columbidae
Columbina talpacoti,Ruddy Ground-Dove,LC,https://mol.org/species/map/Columbina talpacoti,Columbidae
Columba livia,Rock Dove,LC,https://mol.org/species/map/Columba livia,Columbidae
Uropelia campestris,Long-Tailed Ground-Dove,LC,https://mol.org/species/map/Uropelia campestris,Columbidae
Columbina minuta,Plain-Breasted Ground-Dove,LC,https://mol.org/species/map/Columbina minuta,Columbidae
Patagioenas cayennensis,Pale Vented Pigeon,LC,https://mol.org/species/map/Patagioenas cayennensis,Columbidae
Zenaida auriculata,Eared Dove,LC,https://mol.org/species/map/Zenaida auriculata,Columbidae
Crotophaga ani,Smooth-Billed Ani,LC,https://mol.org/species/map/Crotophaga ani,Cuculidae
Dromococcyx phasianellus,Pheasant Cuckoo,LC,https://mol.org/species/map/Dromococcyx phasianellus,Cuculidae
Guira guira,Guira Cuckoo,LC,https://mol.org/species/map/Guira guira,Cuculidae
Coccyzus melacoryphus,Dark-Billed Cuckoo,LC,https://mol.org/species/map/Coccyzus melacoryphus,Cuculidae
Piaya cayana,Squirrel Cuckoo,LC,https://mol.org/species/map/Piaya cayana,Cuculidae
Neomorphus geoffroyi,Rufous-Vented Ground-Cuckoo,VU,https://mol.org/species/map/Neomorphus geoffroyi,Cuculidae
Coccyzus euleri,Pearly-Breasted Cuckoo,LC,https://mol.org/species/map/Coccyzus euleri,Cuculidae
Coccyzus americanus,Yellow-Billed Cuckoo,LC,https://mol.org/species/map/Coccyzus americanus,Cuculidae
Neomorphus squamiger,Scaled Ground-Cuckoo,VU,https://mol.org/species/map/Neomorphus squamiger,Cuculidae
Tapera naevia,Striped Cuckoo,LC,https://mol.org/species/map/Tapera naevia,Cuculidae
Crotophaga major,Greater Ani,LC,https://mol.org/species/map/Crotophaga major,Cuculidae
Tyto alba,Barn Owl,LC,https://mol.org/species/map/Tyto alba,Tytonidae
Strix hylophila,Rusty-Barred Owl,LC,https://mol.org/species/map/Strix hylophila,Strigidae
Asio clamator,Striped Owl,LC,https://mol.org/species/map/Asio clamator,Strigidae
Asio flammeus,Short-Eared Owl,LC,https://mol.org/species/map/Asio flammeus,Strigidae
Asio stygius,Stygian Owl,LC,https://mol.org/species/map/Asio stygius,Strigidae
Bubo virginianus,Great Horned Owl,LC,https://mol.org/species/map/Bubo virginianus,Strigidae
Pulsatrix koeniswaldiana,Tawny-Browed Owl,LC,https://mol.org/species/map/Pulsatrix koeniswaldiana,Strigidae
Glaucidium brasilianum,Ferruginous Pygmy-Owl,LC,https://mol.org/species/map/Glaucidium brasilianum,Strigidae
Glaucidium minutissimum,Least (In Part) Pygmy-Owl,LC,https://mol.org/species/map/Glaucidium minutissimum,Strigidae
Pulsatrix perspicillata,Spectacled Owl,LC,https://mol.org/species/map/Pulsatrix perspicillata,Strigidae
Ciccaba virgata,Mottled Owl,LC,https://mol.org/species/map/Ciccaba virgata,Strigidae
Athene cunicularia,Burrowing Owl,LC,https://mol.org/species/map/Athene cunicularia,Strigidae
Megascops choliba,Tropical Screech Owl,LC,https://mol.org/species/map/Megascops choliba,Strigidae
Megascops atricapilla,Black Capped Screech Owl,LC,https://mol.org/species/map/Megascops atricapilla,Strigidae
Hydropsalis torquata,Scissor-Tailed Nightjar,LC,https://mol.org/species/map/Hydropsalis torquata,Caprimulgidae
Setopagis parvula,,LC,https://mol.org/species/map/Setopagis parvula,Caprimulgidae
Nyctidromus albicollis,Pauraque,LC,https://mol.org/species/map/Nyctidromus albicollis,Caprimulgidae
Eleothreptus candicans,White-Winged Nightjar,VU,https://mol.org/species/map/Eleothreptus candicans,Caprimulgidae
Chordeiles nacunda,Nacunda Nighthawk,LC,https://mol.org/species/map/Chordeiles nacunda,Caprimulgidae
Macropsalis forcipata,Long Trained Nightjar,LC,https://mol.org/species/map/Macropsalis forcipata,Caprimulgidae
Antrostomus rufus,Rufous Nightjar,LC,https://mol.org/species/map/Antrostomus rufus,Caprimulgidae
Chordeiles acutipennis,Lesser Nighthawk,LC,https://mol.org/species/map/Chordeiles acutipennis,Caprimulgidae
Chordeiles pusillus,Least Nighthawk,LC,https://mol.org/species/map/Chordeiles pusillus,Caprimulgidae
Nyctiphrynus ocellatus,Ocellated Poorwill,LC,https://mol.org/species/map/Nyctiphrynus ocellatus,Caprimulgidae
Lurocalis semitorquatus,Semi-Collared Nighthawk,LC,https://mol.org/species/map/Lurocalis semitorquatus,Caprimulgidae
Chordeiles minor,Common Nighthawk,LC,https://mol.org/species/map/Chordeiles minor,Caprimulgidae
Systellura longirostris,,LC,https://mol.org/species/map/Systellura longirostris,Caprimulgidae
Nyctibius griseus,Grey Potoo,LC,https://mol.org/species/map/Nyctibius griseus,Nyctibiidae
Nyctibius grandis,Great Potoo,LC,https://mol.org/species/map/Nyctibius grandis,Nyctibiidae
Nyctibius aethereus,Long-Tailed Potoo,LC,https://mol.org/species/map/Nyctibius aethereus,Nyctibiidae
Streptoprocne zonaris,White-Collared Swift,LC,https://mol.org/species/map/Streptoprocne zonaris,Apodidae
Chaetura meridionalis,Sick's Swift,LC,https://mol.org/species/map/Chaetura meridionalis,Apodidae
Chaetura vauxi,Vaux's Swift,LC,https://mol.org/species/map/Chaetura vauxi,Apodidae
Chaetura cinereiventris,Grey-Rumped Swift,LC,https://mol.org/species/map/Chaetura cinereiventris,Apodidae
Cypseloides senex,Great Dusky Swift,LC,https://mol.org/species/map/Cypseloides senex,Apodidae
Cypseloides fumigatus,Sooty Swift,LC,https://mol.org/species/map/Cypseloides fumigatus,Apodidae
Streptoprocne biscutata,Biscutate Swift,LC,https://mol.org/species/map/Streptoprocne biscutata,Apodidae
Phaethornis pretrei,Planalto Hermit,LC,https://mol.org/species/map/Phaethornis pretrei,Trochilidae
Phaethornis ruber,Reddish Hermit,LC,https://mol.org/species/map/Phaethornis ruber,Trochilidae
Phaethornis eurynome,Scale-Throated Hermit,LC,https://mol.org/species/map/Phaethornis eurynome,Trochilidae
Heliactin bilophus,Horned Sungem,LC,https://mol.org/species/map/Heliactin bilophus,Trochilidae
Chlorostilbon lucidus,Glittering-Bellied Emerald,LC,https://mol.org/species/map/Chlorostilbon lucidus,Trochilidae
Lophornis magnificus,Frilled Coquette,LC,https://mol.org/species/map/Lophornis magnificus,Trochilidae
Eupetomena macroura,Swallow-Tailed Hummingbird,LC,https://mol.org/species/map/Eupetomena macroura,Trochilidae
Phaethornis squalidus,Dusky-Throated Hermit,LC,https://mol.org/species/map/Phaethornis squalidus,Trochilidae
Colibri serrirostris,White-Vented Violet-Ear,LC,https://mol.org/species/map/Colibri serrirostris,Trochilidae
Eupetomena cirrochloris,,LC,https://mol.org/species/map/Eupetomena cirrochloris,Trochilidae
Chrysuronia versicolor,,LC,https://mol.org/species/map/Chrysuronia versicolor,Trochilidae
Campylopterus largipennis,Grey-Breasted Sabrewing,LC,https://mol.org/species/map/Campylopterus largipennis,Trochilidae
Anthracothorax nigricollis,Black-Throated Mango,LC,https://mol.org/species/map/Anthracothorax nigricollis,Trochilidae
Florisuga fusca,Black Jacobin,LC,https://mol.org/species/map/Florisuga fusca,Trochilidae
Polytmus guainumbi,White-Tailed Goldenthroat,LC,https://mol.org/species/map/Polytmus guainumbi,Trochilidae
Polytmus guainumbi,White-Tailed Goldenthroat,LC,https://mol.org/species/map/Polytmus guainumbi,Trochilidae
Polytmus guainumbi,White-Tailed Goldenthroat,LC,https://mol.org/species/map/Polytmus guainumbi,Trochilidae
Augastes scutatus,Hyacinth Visorbearer,LC,https://mol.org/species/map/Augastes scutatus,Trochilidae
Stephanoxis lalandi,Plovercrest,LC,https://mol.org/species/map/Stephanoxis lalandi,Trochilidae
Polytmus guainumbi,White-Tailed Goldenthroat,LC,https://mol.org/species/map/Polytmus guainumbi,Trochilidae
Phaethornis idaliae,Minute Hermit,LC,https://mol.org/species/map/Phaethornis idaliae,Trochilidae
Chrysolampis mosquitus,Ruby-Topaz Hummingbird,LC,https://mol.org/species/map/Chrysolampis mosquitus,Trochilidae
Heliomaster furcifer,Blue-Tufted Starthroat,LC,https://mol.org/species/map/Heliomaster furcifer,Trochilidae
Heliomaster squamosus,Stripe-Breasted Starthroat,LC,https://mol.org/species/map/Heliomaster squamosus,Trochilidae
Leucochloris albicollis,White-Throated Hummingbird,LC,https://mol.org/species/map/Leucochloris albicollis,Trochilidae
Glaucis hirsutus,Rufous-Breasted Hermit,LC,https://mol.org/species/map/Glaucis hirsutus,Trochilidae
Chionomesa lactea,,LC,https://mol.org/species/map/Chionomesa lactea,Trochilidae
Chionomesa fimbriata,,LC,https://mol.org/species/map/Chionomesa fimbriata,Trochilidae
Heliothryx auritus,Black Eared Fairy,LC,https://mol.org/species/map/Heliothryx auritus,Trochilidae
Clytolaema rubricauda,Brazilian Ruby,LC,https://mol.org/species/map/Clytolaema rubricauda,Trochilidae
Calliphlox amethystina,Amethyst Woodstar,LC,https://mol.org/species/map/Calliphlox amethystina,Trochilidae
